课程号,课序号,课程名,英文课程名,学分,课程属性,成绩

AM1001,40,军事理论,,2,必修,88.0
AM1002,40,军事训练,,1,必修,通过
FL1001,34,大学英语（Ⅰ）,,4,必修,89.0
HA1001,23,思想道德修养与法律基础,Morals&Ethics;&Fundamental; of Law,3,必修,90.0
HA1005,32,大学生职业发展,,1,必修,85.0
HA1008-1,32,形势与政策（Ⅰ）,,0.3,必修,95.0
HE1001,32,大学体育（Ⅰ）,,1,必修,89.0
ME1001,02,工程图学与计算机绘图,,3,必修,70.0
MS1001,32,高等数学A（Ⅰ）,,6,必修,87.0
PY1001,32,大学物理（Ⅰ）,,3,必修,96.0
PY2000-1,02,专业教育（Ⅰ）,,0.3,必修,通过
PY2001,01,新生研讨课,,1,必修,通过
PY3030,02,计算机导论与C语言程序设计,,3,必修,87.0

FL1002,34,大学英语（Ⅱ）,,4,必修,82.0
HA1002,25,马克思主义基本原理,Theory of Marxism,3,必修,83.0
HA1006,34,大学生心理健康教育,,1,必修,优秀
HA1008-2,13,形势与政策（Ⅱ）,,0.3,必修,80.0
HE1002,39,大学体育（Ⅱ）,,1,必修,90.0
MS1002,39,高等数学A（Ⅱ）,,6,必修,95.0
MS1007-05,05,线性代数,,3,必修,92.0
PY1002,37,大学物理（Ⅱ）,,5,必修,97.0
PY1003,44,物理实验（Ⅰ）,,1,必修,中等
PY5061,02,软件技术基础,,2,学院选修,优秀
TC1001,5,金工实习,,2,必修,良好

FL1003,51,大学英语（Ⅲ）,,4,必修,83.0
FL1005,01,国家英语四级,,1,必修,通过
HA1003,38,中国近现代史纲要,Outline of Modern Chinese History,2,必修,84.0
HA1008-3,12,形势与政策（Ⅲ）,,0.3,必修,通过
HA8053,01,影视鉴赏,,2,人文限选,85.0
HE1003,44,大学体育（Ⅲ）,,1,必修,85.0
IB1002-16,10,电路分析基础,,4,必修,98.0
IB1013,03,电路、信号与系统实验（Ⅰ）,,0.5,必修,80.0
ME7001,01,平面设计,,2,公共任选,86.0
MS1008-05,02,概率论与数理统计,,3,必修,97.0
MS1009-05,02,场论与复变函数,,3,必修,96.0
PY1004,32,物理实验（Ⅱ）,,1,必修,中等
PY2000-2,02,专业教育（Ⅱ）,,0.3,必修,通过
PY3001,03,热力学与统计物理学,,3,必修,77.0
PY5064,01,微机信息管理与多媒体技术,,2,学院选修,中等
PY5100,01,数值分析,,2,学院选修,93.0

FL1004,58,大学英语（Ⅳ）,,4,必修,82.0
HA1004,38,毛泽东思想和中国特色社会主义理论体系概论,,6,必修,90.0
HA1008-4,12,形势与政策（Ⅳ）,,0.3,必修,良好
HA8013,02,美学,,2,人文限选,82.0
HE1004,04,大学体育（Ⅳ）,,1,必修,98.0
IB1003-16,32,信号与系统,,4,必修,83.0
IB1005-05,02,模拟电子技术基础,,4,必修,90.0
IB1006-05,02,数字电路与逻辑设计,,3,必修,76.0
IB1014,10,电路、信号与系统实验（Ⅱ）,,0.5,必修,85.0
MI7003,01,专用集成电路设计,,2,公共任选,80.0
PY3000,02,量子力学,,3,必修,79.0
PY3002,02,数学物理方程,,3,必修,95.0
PY3090,02,电子线路实验（Ⅰ）,,1,必修,通过

FL1008,997,国家英语六级,,2,公共任选,486.0
HA1008-505,04,形势与政策（Ⅴ）,,0.3,必修,90.0
HA8054,01,美术鉴赏,,1,人文限选,81.0
IB1012-05,02,电磁场与电磁波,,3,必修,92.0
PY2000-3,07,专业教育（Ⅲ）,,0.2,必修,通过
PY3003,02,固体物理,,3,必修,88.0
PY3004,02,科技英语,,1,必修,93.0
PY3005-,01,专业基础实验,,2,必修,通过
PY3007,02,半导体物理,,3,学院选修,85.0
PY3008,02,物理光学（Ⅰ）,,3.5,学院选修,85.0
PY3009,02,应用光学（Ⅰ）,,2.5,学院选修,89.0
PY3091,02,电子线路实验（Ⅱ）,,0.5,必修,优秀
PY5000,01,半导体光电子器件,,2,学院选修,86.0
PY5062,03,微机原理与系统设计,,4,学院选修,80.0
PY5065,01,DSP技术,,2,学院选修,78.0
PY6001,01,遥感图像分析,Remote Sensing Image Analysis,2,学院选修,65.0
TC1002,10,电装实习,,1,必修,85.0
